recording_id,topic,type,count,manifest_count,source_start_s,source_end_s,receive_start_s,receive_end_s,source_start_ns,source_end_ns,receive_start_ns,receive_end_ns,source_dt_s,receive_dt_s,receive_minus_source_s,source_nonincreasing,source_missing,nonfinite_values,source_median_hz,source_mean_hz,source_gap_threshold_s,source_long_gap_count,receive_stall_count
gait_20260909_145331_616f9d8038d9,/MOTION_INFO,drdds/msg/MotionInfo,1865,1865,0.02351896,93.143525567,0.029188892,93.146882754,1788936811371889147,1788936904491895754,1788936811377559079,1788936904495252941,"{""min"": 0.019997252, ""median"": 0.049999839, ""p95"": 0.050012672, ""max"": 0.050260297}","{""min"": 0.002758112, ""median"": 0.049901067, ""p95"": 0.056853976699999996, ""max"": 0.269954706}","{""min"": 0.001175829, ""median"": 0.002770709, ""p95"": 0.013440617399999995, ""max"": 0.221634451}",0,0,0,20.00006440020737,20.01718071033599,0.24999919499999998,0,1
gait_20260909_145331_616f9d8038d9,/STEER,drdds/msg/Steer,747,747,6.489247986,89.571899236,3.403317221,86.056918404,1788936817837618173,1788936900920269423,1788936814751687408,1788936897405288591,"{""min"": 4.8905e-05, ""median"": 8.09745e-05, ""p95"": 1.0000810704999998, ""max"": 5.004456777}","{""min"": 0.009495871, ""median"": 0.0805973225, ""p95"": 0.13149972475, ""max"": 4.454706612}","{""min"": -3.904590327, ""median"": -3.368109398, ""p95"": -2.9214872691000005, ""max"": -2.83854356}",0,0,0,12349.566838943125,8.979010524775472,0.1,73,25
gait_20260909_145331_616f9d8038d9,/rslidar_front/points,sensor_msgs/msg/PointCloud2,932,932,-0.048360221,93.05163873,0.079215072,93.225793611,1788936811300009966,1788936904400008917,1788936811427585259,1788936904574163798,"{""min"": 0.0952003, ""median"": 0.099997998, ""p95"": 0.1004680395, ""max"": 0.104787826}","{""min"": 0.013024607, ""median"": 0.100016791, ""p95"": 0.1104448495, ""max"": 0.296045267}","{""min"": 0.113020697, ""median"": 0.1226273775, ""p95"": 0.13328811124999992, ""max"": 0.318196031}",0,0,0,10.000200204008085,10.000000112674545,0.49998999,0,0
gait_20260909_145331_616f9d8038d9,/rslidar_rear/points,sensor_msgs/msg/PointCloud2,932,932,-0.048371188,93.051643975,0.069821099,93.170553931,1788936811299998999,1788936904400014162,1788936811418191286,1788936904518924118,"{""min"": 0.095154047, ""median"": 0.099997997, ""p95"": 0.1004725695, ""max"": 0.105090857}","{""min"": 0.012411327, ""median"": 0.09997728, ""p95"": 0.11107496350000001, ""max"": 0.296421746}","{""min"": 0.115574319, ""median"": 0.126337525, ""p95"": 0.13745743839999974, ""max"": 0.322305945}",0,0,0,10.00020030401209,9.999998371321427,0.499989985,0,0
gait_20260909_145914_2e0541078764,/HANDLE_STEER,drdds/msg/Steer,274,274,5.105190878,31.13175737,0.95794641,27.518354703,1788937159177890151,1788937185204456643,1788937155030645683,1788937181591053976,"{""min"": 1.19e-07, ""median"": 8.0995e-05, ""p95"": 1.0000805902, ""max"": 3.003512003}","{""min"": 0.003892864, ""median"": 0.080777781, ""p95"": 0.10653217959999996, ""max"": 3.532805437}","{""min"": -4.199116014, ""median"": -3.7057891205, ""p95"": -3.24323450415, ""max"": -3.182061124}",0,0,0,12346.441138341872,10.489282175730489,0.1,24,4
gait_20260909_145914_2e0541078764,/IMU,sensor_msgs/msg/Imu,7890,7890,-0.019699273,39.425300727,-0.007270911,39.4351963,1788937154053000000,1788937193498000000,1788937154065428362,1788937193507895573,"{""min"": 0.005, ""median"": 0.005, ""p95"": 0.005, ""max"": 0.005}","{""min"": 0.001179584, ""median"": 0.005037055, ""p95"": 0.008232972799999995, ""max"": 0.224874446}","{""min"": 0.009294529, ""median"": 0.0107378015, ""p95"": 0.05111354294999997, ""max"": 0.264492927}",0,0,0,200.0,200.0,0.1,0,1
gait_20260909_145914_2e0541078764,/JOINTS_DATA,drdds/msg/JointsData,7890,7890,-0.009062402,39.435936312,0.007203135,39.437567627,1788937154063636871,1788937193508635585,1788937154079902408,1788937193510266900,"{""min"": 0.0048825, ""median"": 0.005000042, ""p95"": 0.00501725, ""max"": 0.005123709}","{""min"": 0.000974144, ""median"": 0.004974849, ""p95"": 0.007947716199999998, ""max"": 0.224288271}","{""min"": 0.000849935, ""median"": 0.001777128, ""p95"": 0.04411823025, ""max"": 0.255256282}",0,0,0,199.9983200141119,200.00000652047174,0.1,0,1
gait_20260909_145914_2e0541078764,/JOINTS_DATA_10HZ,drdds/msg/JointsData,395,395,0.005937725,39.40593985,0.013722334,39.408729649,1788937154078636998,1788937193478639123,1788937154086421607,1788937193481428922,"{""min"": 0.099976344, ""median"": 0.099999968, ""p95"": 0.100010468, ""max"": 0.100021552}","{""min"": 0.01892416, ""median"": 0.09997105, ""p95"": 0.10530337819999998, ""max"": 0.249941099}","{""min"": 0.001034057, ""median"": 0.002645896, ""p95"": 0.00852325289999999, ""max"": 0.152506383}",0,0,0,10.000003200001025,9.999999460659927,0.49999984,0,0
gait_20260909_145914_2e0541078764,/MOTION_INFO,drdds/msg/MotionInfo,789,789,0.029185894,39.429192103,0.033751164,39.430525357,1788937154101885167,1788937193501891376,1788937154106450437,1788937193503224630,"{""min"": 0.049951421, ""median"": 0.05000013, ""p95"": 0.05001004665, ""max"": 0.050048256}","{""min"": 0.004312352, ""median"": 0.049974749, ""p95"": 0.051067427299999996, ""max"": 0.228051021}","{""min"": 0.000777691, ""median"": 0.001463008, ""p95"": 0.005350539599999986, ""max"": 0.180031286}",0,0,0,19.999948000135202,19.999996848223848,0.25000065,0,0
gait_20260909_145914_2e0541078764,/STEER,drdds/msg/Steer,274,274,5.105190878,31.13175737,0.957020746,27.519390351,1788937159177890151,1788937185204456643,1788937155029720019,1788937181592089624,"{""min"": 1.19e-07, ""median"": 8.0995e-05, ""p95"": 1.0000805902, ""max"": 3.003512003}","{""min"": 0.003920672, ""median"": 0.080737989, ""p95"": 0.10623613479999995, ""max"": 3.532128734}","{""min"": -4.199720302, ""median"": -3.7061881605, ""p95"": -3.24361692335, ""max"": -3.182517476}",0,0,0,12346.441138341872,10.489282175730489,0.1,24,4
