t,cpu_11395,rss_mib_11395,cpu_11351,rss_mib_11351,rx_mbit_s,tx_mbit_s
3833.0,35.89,60.1,1.00,50.8,165.21,0.75
3834.0,32.90,60.4,1.00,50.8,166.13,0.59
3835.0,34.89,60.7,0.00,50.8,166.50,0.43
3836.0,34.89,61.2,1.00,50.8,167.12,0.78
3837.0,33.90,61.2,1.00,50.8,163.77,68513.14
3838.0,34.89,61.3,0.00,50.8,163.37,0.39
3839.0,35.89,64.6,0.00,50.8,163.65,0.74
3840.0,33.90,65.7,1.00,50.8,163.29,0.58
3841.0,36.88,66.7,0.00,50.8,163.51,0.42
3842.0,33.89,62.9,1.00,50.8,163.29,68499.61
3843.1,35.88,60.1,1.00,50.8,163.28,0.60
3844.1,35.89,60.1,1.00,50.8,163.19,0.42
3845.1,33.90,60.1,0.00,50.8,163.53,0.74
3846.1,33.89,60.1,0.00,50.8,163.18,0.60
3847.1,32.90,60.1,1.00,50.8,163.27,68515.45
3848.1,33.95,66.7,1.00,50.8,163.44,0.75
3849.1,36.87,60.1,0.00,50.8,163.31,0.59
3850.1,33.89,60.1,0.00,50.8,163.11,0.41
3851.1,34.89,60.1,1.00,50.8,163.37,0.74
3852.1,34.89,60.1,0.00,50.8,163.14,0.55
3853.1,32.90,60.1,1.00,50.8,163.34,68505.53
3854.1,34.89,60.1,0.00,50.8,163.22,0.77
3855.1,32.90,60.1,1.00,50.8,163.38,0.54
3856.1,34.89,60.1,1.00,50.8,163.18,0.43
3857.1,33.89,60.1,1.00,50.8,163.44,0.75
3858.1,31.90,60.1,0.00,50.8,163.29,68506.41
3859.1,34.90,60.1,0.00,50.8,163.34,0.41
3860.1,32.91,60.1,1.00,50.8,163.02,0.76
3861.1,32.91,60.1,0.00,50.8,163.38,0.59
3862.1,34.89,60.1,1.99,50.8,163.26,0.43
3863.1,33.90,60.1,0.00,50.8,163.37,0.82
3864.1,33.89,60.1,1.00,50.8,163.40,68505.29
3865.1,35.89,60.1,0.00,50.8,163.76,0.58
3866.1,33.90,60.1,0.00,50.8,163.33,0.58
3867.1,35.90,60.6,0.00,50.8,169.73,0.60
3868.1,34.90,60.7,1.00,50.8,164.34,0.60
3869.1,33.90,60.8,0.00,50.8,164.12,34260.70
3870.1,32.95,61.3,1.00,50.8,167.59,34303.84
3871.1,33.91,61.2,0.00,50.8,163.51,0.59
3872.1,31.90,62.6,1.00,50.8,163.42,0.58
3873.1,35.89,65.4,0.00,50.8,163.40,0.59
3874.1,34.89,66.4,1.00,50.8,163.41,0.57
3875.1,34.90,62.9,0.00,50.8,163.60,68515.46
3876.2,32.90,66.7,1.00,50.8,163.58,0.60
3877.2,33.90,62.9,1.00,50.8,163.52,0.59
3878.2,35.89,60.1,1.00,50.8,163.37,0.60
3879.2,34.90,60.1,0.00,50.8,163.42,0.57
3880.2,32.90,60.1,1.00,50.8,163.41,68513.98
3881.2,34.90,60.1,0.00,50.8,163.51,0.60
3882.2,32.89,60.1,0.00,50.8,163.31,0.60
3883.2,31.90,60.1,1.00,50.8,163.43,0.58
3884.2,30.90,60.1,1.00,50.8,163.18,0.60
3885.2,31.90,60.1,0.00,50.8,163.18,0.57
3886.2,31.90,60.1,1.00,50.8,163.35,68503.35
3887.2,33.90,60.1,1.00,50.8,163.57,0.59
3888.2,30.91,60.1,0.00,50.8,163.66,0.58
3889.2,31.90,60.1,0.00,50.8,163.64,0.54
3890.2,31.91,60.1,1.99,50.8,163.22,0.58
3891.2,32.90,60.1,0.00,50.8,163.14,68520.65
